ayaka,"San Mateo, CA",4/18/23,no
Carrera agency,"Cerritos, CA",4/21/23,no
Expedia workday,"Seattle, WA",4/18/23,no
Quest.US,"Austin,TX",4/18/23,no
brain corp,"San Diego, CA",4/10/23,no
Crown Castle,"Seatte, WA",4/10/23,no
L3HARRIS,"Anaheim, CA",4/10/23,no
Matroid,"Palo Alto, CA",4/10/23,no
Andruril Industries,"Costa Mesa, CA",3/22/23,no
Forward,N/A,3/22/23,no
Magic Tome,N/A,3/22/23,no
World Fuel Services,San Jose,5/4/23,no
Yardi,"Santa Barbara, CA",5/5/23,no
UL Solutions,"Freemont, CA",5/5/23,no
Welnfuse,"Austin,TX",5/5/23,no
Halo Industries,"Santa Clara, CA",5/5/23,no
Elo Tourch Solutions,"Milpitas,CA",5/8/23,no
Acrisure,"Austin, TX",5/8/23,no
Allegis Group,"Cupertino, CA",5/8/23,no
a4 Advertising,Los Angeles,5/8/23,no
Yeti,"Austin, TX",5/8/23,no
ServiceNow,"San Diego,CA",5/8/23,no
Magnus Technology Solutions,"San Francisco,CA",5/9/23,no
Penguin Computing,"Freemont, CA",5/9/23,no
Shopkick by Trax,"Mexico City, MX",5/9/23,no
Powertrain Ventures,"Monterrey, MX",5/9/23,no
MLB,"San Francisco,CA",5/9/23,no
Cox Automotive,"Austin, TX",5/12/23,no
CarGurus,"Austin, TX",5/12/23,no
Vontive,"San Francisco, CA",5/12/23,no
BJIT Corp.,"Palo Alto, CA",5/12/23,no
Cubic,San Diego,6/23/23,no
Actalent,"Carlsbad, CA",6/23/23,no
AESC,"Carlsbad, CA",6/23/23, no
Dassault Systemes,"San Diego, CA",6/23/23,no
MedImpact Healthcare Systems,"San Diego,CA",6/26/23,no
Intel,"Phoenix, AZ",6/28/23,no
Alcove,"San Francisco,CA",6/28/23,no
Open Systems inc,"Irvine, CA",6/29/23,no
Trade Show Solution Center,Remote,7/3/23,no
Elekta,"Sunnyville, CA",7/5/23,no
Extron,"Anaheim, CA",7/6/23,no
Hyundai autoever,"Fountain Valley,CA",7/6/23,no
"Data Intelligence,LLC","San Diego, CA",7/10/23,no
FastTek Global,"Irvine,,CA",7/10/23,no
Tata Consultancy Services,"Monterrey, MX",8/17/23,no
kforce,"Phoenix, AZ",8/17/23,no
fastly,San Francisco,8/17/23,no
DoublyVerify,"San Diego, CA",8/17/23,no
taco bell,orange,8/18/23,no
Harnham,San Diego,8/23/23,no
Continiuum applied technology inc,"Austin, TX",8/23/23,no
Mass Tort Strategies,"Irvine, CA",8/23/23,no
New bedford panoramex corp,"Claremont, CA",8/23/23,no
Disney,"Burbank, CA",8/23/23,no
Tiktok,San Jose,9/19/23,no
cigna group,"Denver, CO",9/19/23,no
Rippling,"San Francisco, CA",9/26/23,no
Chevron,"Richmond, CA",9/26/23,no
Infinera,"Sunnyvale, CA",10/2/23,no
Russell Tobin,"Capitola, CA",10/2/23,no
Allen Institute,"Seattle, WA",10/3/23,no
Salesfinity,San Francisco,10/3/23,no
Invitech inc,Remote,10/3/23,no
Cogniznat,"Denver, CO",10/4/23,no
Fullcrum group,"Daly City, CA",10/3/23,no
"Tuinity Software, Inc",Remote,10/5/23,no
SymSoft Solutions,"Sacramento, CA",10/5/23,no
Siemens,"Monterrey, MX",10/5/23,no
Varian,"Palo Alto, CA",10/7/23,no
Jefit inc,"Santa Clara, CA",10/7/23,no
Corpay,"Daly City, CA",10/7/23,no
"Innofight, Inc",San Diego ,10/7/23,no
GenSpark,"Tampa, FL",10/8/23,no
Citi,"Tampa,FL",10/9/23,no
Conviva,"Foster City,CA",10/9/23,no
Dice,"Seattle, WA",10/9/23,no
Judge Group,"Seattle,WA",10/9/23,no
SpectraForce,"Seattle, WA",10/9/23,no
Homeward,"Austin, TX",10/9/23,no
Starlink,"Austin, TX",10/9/23,no
Conglomeratel LLC,"Austin, TX",10/9/23,no
Wise Skills,"Austin, TX",10/9/23,no
Verkada,"San Mateo, CA",10/9/23,no
Adobe,"Emeryville,CA",10/9/23,no
Jfrog,"Sunnyvale,CA",10/9/23,no
NetApp,"San Jose, CA",10/10/23,no
SNVA Ventures,"San Francisco,CA",10/10/23,no
nextgen,"Austin,TX",10/10/23,no
DataMinds Services,"San Francisco,CA",10/11/23,no
Spec Trust,"San Jose, CA",10/11/23,no
Comcast,"Sunnyvale, CA
",10/11/23,no
Rivian,"Palo Alto, CA",10/11/23,no
ASK Consulting,"San Jose, CA",10/11/23,no
Match Group,"Palo Alto, CA",10/11/23,no
Virtusa,"Freemont, CA",10/11/23,no
LaunchDarkly,Remote,10/11/23,no
Nintendo,"Redmond, WA",10/11/23,no
PredictSpring,"Mountain View, CA",10/13/23,no
C3.ai,"Redwood City, CA",10/19/23,no
SLB,"Menlo Park, CA",10/19/23,no
Etleap,"San Francisco, CA",10/19/23,no
Cadence,"San Jose, CA",10/19/23,no
Snowflake,"San Mateo, CA",10/19/23,no
Nex,"San Jose, CA",10/19/23,no
State Street,"Irvine, CA",10/19/23,no
SMB SRE ,"Seattle, WA",10/20/23,no
Raytheon,"Aurora, CA",10/20/23,no
Aspen Dental,"Chicago, IL",10/23/23,no
Beat High Technologies,"San Diego, CA",10/23/23,no
"Infostat Systems, inc","Sacramento, CA",10/23/23,no
